Country,Gender,Mean,N=
AT,Male,7.3,471
AT,Female,7.3,570
AT,Both,7.3,1041
BE,Male,7.8,468
BE,Female,7.8,542
BE,Both,7.8,1010
BG,Male,5.8,416
BG,Female,5.8,555
BG,Both,5.8,971
CY,Male,7.8,433
CY,Female,7.5,569
CY,Both,7.7,1002
CZ,Male,7.6,462
CZ,Female,7.4,759
CZ,Both,7.5,1221
DE,Male,7.5,916
DE,Female,7.5,1087
DE,Both,7.5,2003
DK,Male,8.3,447
DK,Female,8.3,550
DK,Both,8.3,997
EE,Male,7.4,402
EE,Female,7.3,615
EE,Both,7.4,1017
GR,Male,7.4,436
GR,Female,7.3,564
GR,Both,7.3,1000
ES,Male,7.7,498
ES,Female,7.5,515
ES,Both,7.6,1013
FI,Male,8.2,463
FI,Female,8.4,538
FI,Both,8.3,1001
FR,Male,7.8,630
FR,Female,7.8,899
FR,Both,7.8,1529
HR,Male,7.0,384
HR,Female,6.9,598
HR,Both,7.0,982
HU,Male,7.1,386
HU,Female,6.9,612
HU,Both,7.0,998
IE,Male,8.0,400
IE,Female,8.1,596
IE,Both,8.0,996
IT,Male,7.1,533
IT,Female,6.9,973
IT,Both,7.0,1506
LT,Male,7.3,375
LT,Female,7.2,622
LT,Both,7.3,997
LU,Male,8.1,425
LU,Female,8.0,576
LU,Both,8.0,1001
LV,Male,6.9,379
LV,Female,6.8,611
LV,Both,6.8,990
MK,Male,6.3,470
MK,Female,6.2,510
MK,Both,6.3,980
MT,Male,8.0,498
MT,Female,7.8,493
MT,Both,7.9,991
NL,Male,8.0,481
NL,Female,8.0,529
NL,Both,8.0,1010
NO,Male,8.0,462
NO,Female,8.1,530
NO,Both,8.1,992
PL,Male,7.4,604
PL,Female,7.3,884
PL,Both,7.4,1488
PT,Male,7.0,477
PT,Female,6.8,521
PT,Both,6.9,998
RO,Male,7.1,472
RO,Female,7.0,525
RO,Both,7.0,997
SE,Male,8.2,492
SE,Female,8.2,519
SE,Both,8.2,1011
SI,Male,7.7,426
SI,Female,7.6,602
SI,Both,7.7,1028
SK,Male,7.5,435
SK,Female,7.6,684
SK,Both,7.5,1119
TR,Male,6.6,874
TR,Female,6.6,1118
TR,Both,6.6,1992
UK,Male,7.7,643
UK,Female,7.9,856
UK,Both,7.8,1499
CC3,Male,6.6,1728
CC3,Female,6.6,2226
CC3,Both,6.6,3954
EU 15,Male,7.6,7780
EU 15,Female,7.6,9835
EU 15,Both,7.6,17615
NMS12,Male,7.2,5288
NMS12,Female,7.1,7531
NMS12,Both,7.2,12819
EU 27,Male,7.5,13068
EU 27,Female,7.5,17366
EU 27,Both,7.5,30434
